
2024/05/14 (01:23:51) | ===> btop++ v.1.3.2
2024/05/14 (01:23:51) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/18 (20:18:59) | ===> btop++ v.1.3.2
2024/05/18 (20:18:59) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/22 (10:28:18) | ===> btop++ v.1.3.2
2024/05/22 (10:28:18) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/22 (21:59:09) | ===> btop++ v.1.3.2
2024/05/22 (21:59:09) | WARNING: Failed to set locale UTF-8 continuing anyway.

2025/02/07 (12:44:51) | ===> btop++ v.1.4.0
2025/02/07 (12:44:51) | ERROR: Stall in Runner thread, restarting!
